Session,Exp,Set
556_FED_20170316b_3T2_PL2017,langlocSN,Language
557_FED_20170317a_3T2_PL2017,langlocSN,Language
558_FED_20170320a_3T2_PL2017,langlocSN,Language
559_FED_20170320c_3T2_PL2017,langlocSN,Language
561_FED_20170327_3T2_PL2017,langlocSN,Language
562_FED_20170327b_3T2_PL2017,langlocSN,Language
563_FED_20170327c_3T2_PL2017,langlocSN,Language
564_FED_20170406_3T2_PL2017,langlocSN,Language
565_FED_20170406_3T2_PL2017,langlocSN,Language
566_FED_20170407a_3T2_PL2017,langlocSN,Language
567_FED_20170407b_3T2_PL2017,langlocSN,Language
568_FED_20170407c_3T2_PL2017,langlocSN,Language
569_FED_20170410b_3T2_PL2017,langlocSN,Language
570_FED_20170410_3T2_PL2017,langlocSN,Language
571_FED_20170412c_3T2_PL2017,langlocSN,Language
572_FED_20170413a_3T2_PL2017,langlocSN,Language
573_FED_20170413b_3T2_PL2017,langlocSN,Language
574_FED_20170425a_3T2_PL2017,langlocSN,Language
574_FED_20170413c_3T2_PL2017,langlocSN,Language
574_FED_20170430a_3T2_PL2017,langlocSN,Language
575_FED_20170414a_3T2_PL2017,langlocSN,Language
576_FED_20171006a_3T2_PL2017,langlocSN,Language
576_FED_20170414b_3T2_PL2017,langlocSN,Language
577_FED_20170414c_3T2_PL2017,langlocSN,Language
578_FED_20170414d_3T2_PL2017,langlocSN,Language
578_FED_20170831c_3T2_PL2017,langlocSN,Language
579_FED_20170418_3T2_PL2017,langlocSN,Language
580_FED_20170418_3T2_PL2017,langlocSN,Language
581_FED_20170418_3T2_PL2017,langlocSN,Language
582_FED_20190726b_3T2_PL2017,langlocSN,Language
582_FED_20170420a_3T2_PL2017,langlocSN,Language
583_FED_20170720d_3T2_PL2017,langlocSN,Language
583_FED_20170420c_3T2_PL2017,langlocSN,Language
584_FED_20170421a_3T2_PL2017,langlocSN,Language
585_FED_20170329a_3T2_PL2017,langlocSN,Language
586_FED_20170331b_3T2_PL2017,langlocSN,Language
587_FED_20170423a_3T2_PL2017,langlocSN,Language
588_FED_20170422c_3T2_PL2017,langlocSN,Language
589_FED_20170422a_3T2_PL2017,langlocSN,Language
590_FED_20170422b_3T2_PL2017,langlocSN,Language
591_FED_20170422d_3T2_PL2017,langlocSN,Language
592_FED_20170423b_3T2_PL2017,langlocSN,Language
593_FED_20170423c_3T2_PL2017,langlocSN,Language
594_FED_20170423d_3T2_PL2017,langlocSN,Language
595_FED_20170425b_3T2_PL2017,langlocSN,Language
596_FED_20170426b_3T2_PL2017,langlocSN,Language
597_FED_20170427a_3T2_PL2017,langlocSN,Language
598_FED_20170428a_3T2_PL2017,langlocSN,Language
599_FED_20170427c_3T2_PL2017,langlocSN,Language
600_FED_20170428b_3T2_PL2017,langlocSN,Language
601_FED_20170501a_3T2_PL2017,langlocSN,Language
602_FED_20170526b_3T2_PL2017,langlocSN,Language
603_FED_20170502a_3T2_PL2017,langlocSN,Language
607_FED_20170517a_3T2_PL2017,langlocSN,Language
608_FED_20170518a_3T2_PL2017,langlocSN,Language
609_FED_20170523c_3T2_PL2017,langlocSN,Language
610_FED_20170523a_3T2_PL2017,langlocSN,Language
611_FED_20170524_3T2_PL2017,langlocSN,Language
613_FED_20170526a_3T2_PL2017,langlocSN,Language
614_FED_20170525a_3T2_PL2017,langlocSN,Language
617_FED_20170605_3T2_PL2017,langlocSN,Language
618_FED_20170612_3T2_PL2017,langlocSN,Language
619_FED_20170613_3T2_PL2017,langlocSN,Language
620_FED_20170613_3T2_PL2017,langlocSN,Language
624_FED_20170619b_3T2_PL2017,langlocSN,Language
625_FED_20170619a_3T2_PL2017,langlocSN,Language
626_FED_20170619c_3T2_PL2017,langlocSN,Language
627_FED_20170620a_3T2_PL2017,langlocSN,Language
628_FED_20170620_3T2_PL2017,langlocSN,Language
629_FED_20170620c_3T2_PL2017,langlocSN,Language
629_FED_20170922c_3T2_PL2017,langlocSN,Language
629_FED_20171215a_3T2_PL2017,langlocSN,Language
630_FED_20170621c_3T2_PL2017,langlocSN,Language
632_FED_20170623a_3T2_PL2017,langlocSN,Language
632_FED_20170825a_3T2_PL2017,langlocSN,Language
633_FED_20170626a_3T2_PL2017,langlocSN,Language
634_FED_20170626_3T2_PL2017,langlocSN,Language
635_FED_20170627_3T2_PL2017,langlocSN,Language
636_FED_20170628b_3T2_PL2017,langlocSN,Language
637_FED_20170628c_3T2_PL2017,langlocSN,Language
638_FED_20170628_3T2_PL2017,langlocSN,Language
640_FED_20170629c_3T2_PL2017,langlocSN,Language
641_FED_20170629b_3T2_PL2017,langlocSN,Language
642_FED_20170629a_3T2_PL2017,langlocSN,Language
643_FED_20170630c_3T2_PL2017,langlocSN,Language
645_FED_20170630e_3T2_PL2017,langlocSN,Language
647_FED_20170705_3T2_PL2017,langlocSN,Language
648_FED_20170707_3T2_PL2017,langlocSN,Language
649_FED_20170710c_3T2_PL2017,langlocSN,Language
654_Princeton_SUB01_20150903-0903-1536_PL2017,langlocSN,Language
655_FED_20170724a_3T2_PL2017,langlocSN,Language
656_FED_20170724c_3T2_PL2017,langlocSN,Language
657_POLY18_20170724b_3T2_PL2017,langlocSN,Language
658_FED_20170725d_3T2_PL2017,langlocSN,Language
659_FED_20170726d_3T2_PL2017,langlocSN,Language
660_FED_20170728c_3T2_PL2017,langlocSN,Language
661_FED_20170731b_3T2_PL2017,langlocSN,Language
662_FED_20170803b_3T2_PL2017,langlocSN,Language
663_POLY19_20170803c_3T2_PL2017,langlocSN,Language
664_FED_20170816a_3T2_PL2017,langlocSN,Language
665_FED_20170828b_3T2_PL2017,langlocSN,Language
665_FED_20170923b_3T2_PL2017,langlocSN,Language
666_FED_20170830a_3T2_PL2017,langlocSN,Language
667_FED_20170831a_3T2_PL2017,langlocSN,Language
668_POLY20_20170928a_3T2_PL2017,langlocSN,Language
669_FED_20171108a_3T2_PL2017,langlocSN,Language
670_FED_20171208a_3T2_PL2017,langlocSN,Language
671_FED_20190625a_3T2_PL2017,langlocSN,Language
671_FED_20190719a_3T2_PL2017,langlocSN,Language
671_FED_20180625a_3T2_PL2017,langlocSN,Language
672_FED_20180702a_3T2_PL2017,langlocSN,Language
674_FED_20180730b_3T2_PL2017,langlocSN,Language
676_FED_20180727a_3T2_PL2017,langlocSN,Language
677_FED_20180729a_3T2_PL2017,langlocSN,Language
678_FED_20180730a_3T2_PL2017,langlocSN,Language
679_FED_20180730c_3T2_PL2017,langlocSN,Language
680_FED_20180802b_3T2_PL2017,langlocSN,Language
681_FED_20180803a_3T2_PL2017,langlocSN,Language
682_FED_20190426a_3T2_PL2017,langlocSN,Language
682_FED_20191106c_3T2_PL2017,langlocSN,Language
682_FED_20180803b_3T2_PL2017,langlocSN,Language
683_FED_20180803c_3T2_PL2017,langlocSN,Language
684_FED_20180803d_3T2_PL2017,langlocSN,Language
685_FED_20180808a_3T2_PL2017,langlocSN,Language
686_FED_20180809a_3T2_PL2017,langlocSN,Language
687_FED_20180809b_3T2_PL2017,langlocSN,Language
687_FED_20190801a_3T2_PL2017,langlocSN,Language
688_FED_20180914a_3T2_PL2017,langlocSN,Language
689_FED_20181010a_3T2_PL2017,langlocSN,Language
690_FED_20181012a_3T2_PL2017,langlocSN,Language
691_FED_20181018a_3T2_PL2017,langlocSN,Language
692_FED_20181018b_3T2_PL2017,langlocSN,Language
693_FED_20181029a_3T2_PL2017,langlocSN,Language
694_FED_20181101a_3T2_PL2017,langlocSN,Language
695_FED_20181113a_3T2_PL2017,langlocSN,Language
696_FED_20181115a_3T2_PL2017,langlocSN,Language
697_FED_20181119a_3T2_PL2017,langlocSN,Language
698_FED_20181129a_3T2_PL2017,langlocSN,Language
699_FED_20181129b_3T2_PL2017,langlocSN,Language
700_FED_20181128a_3T2_PL2017,langlocSN,Language
701_POLY21_20181212a_3T2_PL2017,langlocSN,Language
702_FED_20181214a_3T2_PL2017,langlocSN,Language
703_FED_20181221a_3T2_PL2017,langlocSN,Language
704_FED_20190107a_3T2_PL2017,langlocSN,Language
705_FED_20190117a_3T2_PL2017,langlocSN,Language
706_FED_20190117b_3T2_PL2017,langlocSN,Language
713_FED_20190130a_3T2_PL2017,langlocSN,Language
721_FED_20190605a_3T2_PL2017,langlocSN,Language
724_FED_20190802a_3T2_PL2017,langlocSN,Language
725_FED_20190215a_3T2_PL2017,langlocSN,Language
726_FED_20190226a_3T2_PL2017,langlocSN,Language
727_FED_20190226b_3T2_PL2017,langlocSN,Language
728_FED_20190226c_3T2_PL2017,langlocSN,Language
729_FED_20190226d_3T2_PL2017,langlocSN,Language
730_FED_20190306a_3T2_PL2017,langlocSN,Language
731_FED_20190306b_3T2_PL2017,langlocSN,Language
732_FED_20190307_3T2_PL2017,langlocSN,Language
733_FED_20190307b_3T2_PL2017,langlocSN,Language
734_FED_20190313a_3T2_PL2017,langlocSN,Language
735_FED_20190314a_3T2_PL2017,langlocSN,Language
736_FED_20190314b_3T2_PL2017,langlocSN,Language
737_FED_20190314c_3T2_PL2017,langlocSN,Language
738_FED_20190319a_3T2_PL2017,langlocSN,Language
739_FED_20190319b_3T2_PL2017,langlocSN,Language
740_FED_20190319c_3T2_PL2017,langlocSN,Language
741_FED_20190320a_3T2_PL2017,langlocSN,Language
742_FED_20190320b_3T2_PL2017,langlocSN,Language
743_FED_20190320c_3T2_PL2017,langlocSN,Language
744_FED_20190320d_3T2_PL2017,langlocSN,Language
745_FED_20190321a_3T2_PL2017,langlocSN,Language
746_FED_20190328a_3T2_PL2017,langlocSN,Language
747_FED_20190328b_3T2_PL2017,langlocSN,Language
748_FED_20190328c_3T2_PL2017,langlocSN,Language
749_FED_20190404a_3T2_PL2017,langlocSN,Language
750_FED_20190404b_3T2_PL2017,langlocSN,Language
751_FED_20190404c_3T2_PL2017,langlocSN,Language
752_FED_20190404d_3T2_PL2017,langlocSN,Language
753_FED_20190405a_3T2_PL2017,langlocSN,Language
754_FED_20190405b_3T2_PL2017,langlocSN,Language
755_FED_20190411a_3T2_PL2017,langlocSN,Language
756_FED_20190411b_3T2_PL2017,langlocSN,Language
757_FED_20190411c_3T2_PL2017,langlocSN,Language
758_FED_20190411d_3T2_PL2017,langlocSN,Language
759_FED_20190415a_3T2_PL2017,langlocSN,Language
760_FED_20190415b_3T2_PL2017,langlocSN,Language
761_FED_20190416a_3T2_PL2017,langlocSN,Language
762_FED_20190416b_3T2_PL2017,langlocSN,Language
763_FED_20190416c_3T2_PL2017,langlocSN,Language
764_FED_20190416d_3T2_PL2017,langlocSN,Language
765_FED_20190417a_3T2_PL2017,langlocSN,Language
766_FED_20190418a_3T2_PL2017,langlocSN,Language
767_FED_20190724b_3T2_PL2017,langlocSN,Language
767_FED_20190402a_3T2_PL2017,langlocSN,Language
767_FED_20190418b_3T2_PL2017,langlocSN,Language
768_FED_20190517a_3T2_PL2017,langlocSN,Language
769_FED_20190522a_3T2_PL2017,langlocSN,Language
770_FED_20191120c_3T2_PL2017,langlocSN,Language
770_FED_20191204d_3T2_PL2017,langlocSN,Language
770_FED_20190523b_3T2_PL2017,langlocSN,Language
770_FED_20190713a_3T2_PL2017,langlocSN,Language
771_FED_20190525a_3T2_PL2017,langlocSN,Language
772_FED_20190525b_3T2_PL2017,langlocSN,Language
773_FED_20190605c_3T2_PL2017,langlocSN,Language
774_FED_20190605b_3T2_PL2017,langlocSN,Language
775_FED_20190611a_3T2_PL2017,langlocSN,Language
776_FED_20190611b_3T2_PL2017,langlocSN,Language
777_FED_20190611c_3T2_PL2017,langlocSN,Language
778_FED_20190614b_3T2_PL2017,langlocSN,Language
779_FED_20191106e_3T2_PL2017,langlocSN,Language
780_FED_20190625b_3T2_PL2017,langlocSN,Language
781_FED_20190625d_3T2_PL2017,langlocSN,Language
782_FED_20190626a_3T2_PL2017,langlocSN,Language
783_FED_20190627a_3T2_PL2017,langlocSN,Language
784_FED_20190712b_3T2_PL2017,langlocSN,Language
785_FED_20190714a_3T2_PL2017,langlocSN,Language
786_FED_20190719b_3T2_PL2017,langlocSN,Language
787_FED_20190719c_3T2_PL2017,langlocSN,Language
788_FED_20190724a_3T2_PL2017,langlocSN,Language
788_FED_20191120b_3T2_PL2017,langlocSN,Language
789_FED_20190726a_3T2_PL2017,langlocSN,Language
790_FED_20190730a_3T2_PL2017,langlocSN,Language
791_FED_20191023a_3T2_PL2017,langlocSN,Language
792_FED_20191023b_3T2_PL2017,langlocSN,Language
793_FED_20191023c_3T2_PL2017,langlocSN,Language
794_FED_20191023d_3T2_PL2017,langlocSN,Language
795_FED_20191030b_3T2_PL2017,langlocSN,Language
796_FED_20191030c_3T2_PL2017,langlocSN,Language
797_FED_20191030d_3T2_PL2017,langlocSN,Language
798_POLY22_20191014a_3T2_PL2017,langlocSN,Language
799_FED_20191031a_3T2_PL2017,langlocSN,Language
800_FED_20191102a_3T2_PL2017,langlocSN,Language
801_FED_20191113a_3T2_PL2017,langlocSN,Language
803_FED_20191113c_3T2_PL2017,langlocSN,Language
803_FED_20191120d_3T2_PL2017,langlocSN,Language
804_FED_20191122a_3T2_PL2017,langlocSN,Language
805_FED_20191204a_3T2_PL2017,langlocSN,Language
806_FED_20191204b_3T2_PL2017,langlocSN,Language
807_FED_20191204c_3T2_PL2017,langlocSN,Language
808_FED_20191210a_3T2_PL2017,langlocSN,Language
809_FED_20191212b_3T2_PL2017,langlocSN,Language
810_FED_20191212a_3T2_PL2017,langlocSN,Language
811_FED_20191213a_3T2_PL2017,langlocSN,Language
812_FED_20191213b_3T2_PL2017,langlocSN,Language
813_FED_20191213c_3T2_PL2017,langlocSN,Language
814_FED_20200113b_3T2_PL2017,langlocSN,Language
815_FED_20200113c_3T2_PL2017,langlocSN,Language
816_FED_20200117a_3T2_PL2017,langlocSN,Language
817_FED_20200117b_3T2_PL2017,langlocSN,Language
818_FED_20200117c_3T2_PL2017,langlocSN,Language
819_FED_20200117d_3T2_PL2017,langlocSN,Language
820_FED_20200120a_3T2_PL2017,langlocSN,Language
821_FED_20200305c_3T2_PL2017,langlocSN,Language
821_FED_20200123a_3T2_PL2017,langlocSN,Language
822_FED_20200123b_3T2_PL2017,langlocSN,Language
823_FED_20200123c_3T2_PL2017,langlocSN,Language
824_FED_20200130a_3T2_PL2017,langlocSN,Language
825_FED_20200130b_3T2_PL2017,langlocSN,Language
825_FED_20200220b_3T2_PL2017,langlocSN,Language
826_FED_20200130c_3T2_PL2017,langlocSN,Language
827_FED_20200130d_3T2_PL2017,langlocSN,Language
827_FED_20200305b_3T2_PL2017,langlocSN,Language
828_FED_20200205c_3T2_PL2017,langlocSN,Language
829_FED_20200211a_3T2_PL2017,langlocSN,Language
830_FED_20200213a_3T2_PL2017,langlocSN,Language
831_FED_20200213b_3T2_PL2017,langlocSN,Language
832_FED_20200220c_3T2_PL2017,langlocSN,Language
833_FED_20200224a_3T2_PL2017,langlocSN,Language
834_FED_20200303a_3T2_PL2017,langlocSN,Language
835_FED_20200305a_3T2_PL2017,langlocSN,Language
017_domspec_09_PL2017,SWNlocIPS168,Language
019_KAN_langevents_08_PL2017,SWNlocIPS168,Language
019_KAN_langmus_05_PL2017,SWNlocIPS168,Language
019_KAN_domspec_03_PL2017,SWNlocIPS168,Language
021_domspec_10_PL2017,SWNlocIPS168,Language
023_langmus_07_PL2017,SWNlocIPS168,Language
030_KAN_langstroopBL_11_PL2017,SWNlocIPS168,Language
034_domspec_01_PL2017,SWNlocIPS168,Language
035_domspec_04_PL2017,SWNlocIPS168,Language
036_KAN_domspec_05_PL2017,SWNlocIPS168,Language
037_domspec_06_PL2017,SWNlocIPS168,Language
038_domspec_07_PL2017,SWNlocIPS168,Language
039_domspec_08_PL2017,SWNlocIPS168,Language
040_domspec_11_PL2017,SWNlocIPS168,Language
040_KAN_langevents_01_PL2017,SWNlocIPS168,Language
040_KAN_langstroop_05_PL2017,SWNlocIPS168,Language
041_KAN_domspec_12_PL2017,SWNlocIPS168,Language
042_domspec_13_PL2017,SWNlocIPS168,Language
043_langmus_01_PL2017,SWNlocIPS168,Language
044_langmus_02_PL2017,SWNlocIPS168,Language
045_langmus_06_PL2017,SWNlocIPS168,Language
046_KAN_langmus_08_PL2017,SWNlocIPS168,Language
046_KAN_langstroop_01_PL2017,SWNlocIPS168,Language
047_KAN_syntax_12_PL2017,SWNlocIPS168,Language
047_langmus_09_PL2017,SWNlocIPS168,Language
048_KAN_syntax_08_PL2017,SWNlocIPS168,Language
048_langmus_10_PL2017,SWNlocIPS168,Language
049_KAN_langmus_11_PL2017,SWNlocIPS168,Language
050_KAN_langmus_12_PL2017,SWNlocIPS168,Language
050_KAN_syntax_05_PL2017,SWNlocIPS168,Language
051_langmus_13_PL2017,SWNlocIPS168,Language
052_langmus_14_PL2017,SWNlocIPS168,Language
054_KAN_langstroop_02_PL2017,SWNlocIPS168,Language
056_KAN_langstroop_04_PL2017,SWNlocIPS168,Language
056_KAN_langevents_05_PL2017,SWNlocIPS168,Language
057_KAN_langevents_02_PL2017,SWNlocIPS168,Language
058_domspec_14_PL2017,SWNlocIPS168,Language
059_KAN_langevents_04_PL2017,SWNlocIPS168,Language
060_domspec_15_PL2017,SWNlocIPS168,Language
061_KAN_lingviol_02_PL2017,SWNlocIPS168,Language
061_KAN_stories_05_PL2017,SWNlocIPS168,Language
061_KAN_syntax_07_PL2017,SWNlocIPS168,Language
061_KAN_langstroopBL_05_PL2017,SWNlocIPS168,Language
062_KAN_langstroopBL_06_PL2017,SWNlocIPS168,Language
063_KAN_langstroopBL_07_PL2017,SWNlocIPS168,Language
064_KAN_langstroopBL_08_PL2017,SWNlocIPS168,Language
065_KAN_langstroopBL_09_PL2017,SWNlocIPS168,Language
066_KAN_langstroopBL_10_PL2017,SWNlocIPS168,Language
067_KAN_langevents_06_PL2017,SWNlocIPS168,Language
068_KAN_langevents_07_PL2017,SWNlocIPS168,Language
069_KAN_langevents_10_PL2017,SWNlocIPS168,Language
070_KAN_langevents_11_PL2017,SWNlocIPS168,Language
071_KAN_langstroopBL_12_PL2017,SWNlocIPS168,Language
072_KAN_langstroopBL_13_PL2017,SWNlocIPS168,Language
073_KAN_langstroopBL_14_PL2017,SWNlocIPS168,Language
074_KAN_langstroopBL_15_PL2017,SWNlocIPS168,Language
075_KAN_langmustask_01_PL2017,SWNlocIPS168,Language
076_KAN_langevents_16_PL2017,SWNlocIPS168,Language
076_KAN_langstroopBL_16_PL2017,SWNlocIPS168,Language
077_KAN_langmustask_02_PL2017,SWNlocIPS168,Language
078_KAN_langstroopBL_17_PL2017,SWNlocIPS168,Language
078_KAN_langevents_13_PL2017,SWNlocIPS168,Language
079_KAN_langstroopBL_18_PL2017,SWNlocIPS168,Language
080_KAN_langmustask_03_PL2017,SWNlocIPS168,Language
081_KAN_langstroopBL_19_PL2017,SWNlocIPS168,Language
082_KAN_langmustask_04_PL2017,SWNlocIPS168,Language
083_KAN_langstroopBL_20_PL2017,SWNlocIPS168,Language
084_KAN_syntax_02_PL2017,SWNlocIPS168,Language
084_KAN_langstroopBL_21_PL2017,SWNlocIPS168,Language
085_KAN_langstroopBL_22_PL2017,SWNlocIPS168,Language
085_KAN_stories_02_PL2017,SWNlocIPS168,Language
086_KAN_langstroopBL_23_PL2017,SWNlocIPS168,Language
087_KAN_langevents_12_PL2017,SWNlocIPS168,Language
088_KAN_stories_04_PL2017,SWNlocIPS168,Language
088_KAN_langevents_14_PL2017,SWNlocIPS168,Language
088_KAN_syntax_01_PL2017,SWNlocIPS168,Language
089_KAN_langevents_15_PL2017,SWNlocIPS168,Language
090_KAN_stories_01_PL2017,SWNlocIPS168,Language
092_KAN_syntax_03_PL2017,SWNlocIPS168,Language
095_KAN_syntax_04_PL2017,SWNlocIPS168,Language
096_KAN_syntax_06_PL2017,SWNlocIPS168,Language
097_KAN_syntax_09_PL2017,SWNlocIPS168,Language
098_KAN_stories_03_PL2017,SWNlocIPS168,Language
099_KAN_syntax_10_PL2017,SWNlocIPS168,Language
100_KAN_syntax_11_PL2017,SWNlocIPS168,Language
101_KAN_lingviol_09_PL2017,SWNlocIPS168,Language
101_KAN_syntax_13_PL2017,SWNlocIPS168,Language
103_KAN_lingviol_01_PL2017,SWNlocIPS168,Language
104_KAN_domspec_16_PL2017,SWNlocIPS168,Language
105_KAN_domspec_17_PL2017,SWNlocIPS168,Language
106_domspec_18_PL2017,SWNlocIPS168,Language
107_KAN_lingviol_04_PL2017,SWNlocIPS168,Language
108_KAN_domspec_19_PL2017,SWNlocIPS168,Language
109_KAN_lingviol_05_PL2017,SWNlocIPS168,Language
110_KAN_lingviol_07_PL2017,SWNlocIPS168,Language
111_KAN_lingviol_08_PL2017,SWNlocIPS168,Language
007_KAN_parametric_07_PL2017,SuperLocSN,Language
072_KAN_adapt_03_PL2017,SuperLocSN,Language
087_KAN_locmvpa_05_PL2017,SuperLocSN,Language
095_KAN_parametric_01_PL2017,SuperLocSN,Language
103_KAN_adapt_14_PL2017,SuperLocSN,Language
113_KAN_freqamb_02_PL2017,SuperLocSN,Language
115_KAN_action_07_PL2017,SuperLocSN,Language
120_KAN_action_08_PL2017,SuperLocSN,Language
121_KAN_action_09_PL2017,SuperLocSN,Language
123_KAN_adapt_09_PL2017,SuperLocSN,Language
124_KAN_parametric_08_PL2017,SuperLocSN,Language
124_KAN_action_10_PL2017,SuperLocSN,Language
124_KAN_evDB_20131202_PL2017,SuperLocSN,Language
125_KAN_action_12_PL2017,SuperLocSN,Language
126_KAN_parametric_02_PL2017,SuperLocSN,Language
126_KAN_parametric_13_PL2017,SuperLocSN,Language
127_KAN_parametric_03_PL2017,SuperLocSN,Language
128_KAN_stories_16_PL2017,SuperLocSN,Language
128_KAN_random_01_PL2017,SuperLocSN,Language
129_KAN_adapt_15_PL2017,SuperLocSN,Language
129_KAN_prod_08_PL2017,SuperLocSN,Language
132_KAN_parametric_16_PL2017,SuperLocSN,Language
133_KAN_adapt_01_PL2017,SuperLocSN,Language
134_KAN_adapt_02_PL2017,SuperLocSN,Language
135_KAN_adapt_04_PL2017,SuperLocSN,Language
136_KAN_adapt_05_PL2017,SuperLocSN,Language
136_KAN_freqamb_07_PL2017,SuperLocSN,Language
137_KAN_adapt_06_PL2017,SuperLocSN,Language
138_KAN_langsens_02_PL2017,SuperLocSN,Language
138_KAN_adapt_07_PL2017,SuperLocSN,Language
139_KAN_adapt_08_PL2017,SuperLocSN,Language
140_KAN_prod_01_PL2017,SuperLocSN,Language
141_KAN_adapt_10_PL2017,SuperLocSN,Language
142_KAN_parametric_04_PL2017,SuperLocSN,Language
142_KAN_freqamb_01_PL2017,SuperLocSN,Language
143_KAN_adapt_11_PL2017,SuperLocSN,Language
144_KAN_adapt_12_PL2017,SuperLocSN,Language
146_KAN_random_02_PL2017,SuperLocSN,Language
147_KAN_prod_04_PL2017,SuperLocSN,Language
148_KAN_adapt_13_PL2017,SuperLocSN,Language
148_KAN_freqamb_05_PL2017,SuperLocSN,Language
150_KAN_stories_12_PL2017,SuperLocSN,Language
151_KAN_parametric_06_PL2017,SuperLocSN,Language
154_KAN_freqamb_03_PL2017,SuperLocSN,Language
155_KAN_events2_03_PL2017,SuperLocSN,Language
155_KAN_prod_05_PL2017,SuperLocSN,Language
156_KAN_prod_06_PL2017,SuperLocSN,Language
158_KAN_locmvpa_01_PL2017,SuperLocSN,Language
159_KAN_freqamb_06_PL2017,SuperLocSN,Language
160_KAN_locmvpa_02_PL2017,SuperLocSN,Language
161_KAN_parametric_09_PL2017,SuperLocSN,Language
162_KAN_locmvpa_03_PL2017,SuperLocSN,Language
163_KAN_locmvpa_04_PL2017,SuperLocSN,Language
164_KAN_locmvpa_06_PL2017,SuperLocSN,Language
165_KAN_prod_07_PL2017,SuperLocSN,Language
166_KAN_locmvpa_07_PL2017,SuperLocSN,Language
167_KAN_parametric_10_PL2017,SuperLocSN,Language
168_KAN_parametric_11_PL2017,SuperLocSN,Language
169_KAN_parametric_12_PL2017,SuperLocSN,Language
170_KAN_locmvpa_08_PL2017,SuperLocSN,Language
171_KAN_parametric_14_PL2017,SuperLocSN,Language
172_KAN_locmvpa_09_PL2017,SuperLocSN,Language
173_KAN_locmvpa_10_PL2017,SuperLocSN,Language
174_KAN_locmvpa_11_PL2017,SuperLocSN,Language
175_KAN_stories_15_PL2017,SuperLocSN,Language
175_KAN_RHnonlit_12_PL2017,SuperLocSN,Language
176_KAN_stories_17_PL2017,SuperLocSN,Language
177_KAN_stories_18_PL2017,SuperLocSN,Language
178_KAN_parametric_15_PL2017,SuperLocSN,Language
179_KAN_locmvpa_13_PL2017,SuperLocSN,Language
180_KAN_events2_02_PL2017,SuperLocSN,Language
183_KAN_polyglot_04b_PL2017,SuperLocSN,Language
184_KAN_locmvpa_12_PL2017,SuperLocSN,Language
190_KAN_parametric_17_PL2017,SuperLocSN,Language
214_KAN_prodsemphon_11_PL2017,SuperLocSN,Language
238_KAN_prodsemphon_17_PL2017,SuperLocSN,Language
249_FED_20161108d_3T2_PL2017,SuperLocSN,Language
417_FED_20161104c_3T2_PL2017,SuperLocSN,Language
426_FED_20161107c_3T2_PL2017,SuperLocSN,Language
476_FED_20161103b_3T2_PL2017,SuperLocSN,Language
483_FED_20161107d_3T2_PL2017,SuperLocSN,Language
485_FED_20161108c_3T2_PL2017,SuperLocSN,Language
486_FED_20161108e_3T2_PL2017,SuperLocSN,Language
072_KAN_prod_02_PL2017,SuperLocSWN,Language
072_KAN_syntshapes_11_PL2017,SuperLocSWN,Language
112_KAN_stories_06_PL2017,SuperLocSWN,Language
114_KAN_stories_08_PL2017,SuperLocSWN,Language
118_KAN_syntshapes_03_PL2017,SuperLocSWN,Language
119_KAN_syntshapes_04_PL2017,SuperLocSWN,Language
123_KAN_syntshapes_06_PL2017,SuperLocSWN,Language
130_KAN_syntshapes_10_PL2017,SuperLocSWN,Language
131_KAN_syntshapes_12_PL2017,SuperLocSWN,Language
146_KAN_stories_11_PL2017,SuperLocSWN,Language
153_KAN_stories_14_PL2017,SuperLocSWN,Language
157_KAN_events2_01_PL2017,SuperLocSWN,Language
113_KAN_stories_07_PL2017,SWNloc_morph,Language
116_KAN_langsyntaxshapes_01_PL2017,SWNloc_morph,Language
117_KAN_langsyntaxshapes_02_PL2017,SWNloc_morph,Language
126_KAN_langsyntaxshapes_07_PL2017,SWNloc_morph,Language
129_KAN_langsyntaxshapes_09_PL2017,SWNloc_morph,Language
132_KAN_langsyntaxshapes_13_PL2017,SWNloc_morph,Language
122_KAN_langsyntaxshapes_05_PL2017,SWNloc_morphcont,Language
127_KAN_langsyntaxshapes_08_PL2017,SWNloc_morphcont,Language
127_KAN_prod_03_PL2017,SWNloc_NV,Language
132_KAN_stories_10_PL2017,SWNloc_NV,Language
145_KAN_stories_09_PL2017,SWNloc_NV,Language
149_KAN_parametric_05_PL2017,SWNloc_NV,Language
152_KAN_stories_13_PL2017,SWNloc_NV,Language
008_SWJNV2_01_PL2017,SWJNV2,Language
009_SWJNV2_02_PL2017,SWJNV2,Language
010_SWJNV2_03_PL2017,SWJNV2,Language
011_SWJNV2_04_PL2017,SWJNV2,Language
012_SWJNV2_05_PL2017,SWJNV2,Language
013_SWJNV2_06_PL2017,SWJNV2,Language
014_SWJNV2_07_PL2017,SWJNV2,Language
015_SWJNV2_08_PL2017,SWJNV2,Language
016_SWJNV2_09_PL2017,SWJNV2,Language
018_SWJNV2_10_PL2017,SWJNV2,Language
020_SWJNV2_12_PL2017,SWJNV2,Language
021_SWJNaudio_04_PL2017,SWJNV2,Language
022_SWJNaudio_06_PL2017,SWJNV2,Language
023_SWJNaudio_07_PL2017,SWJNV2,Language
024_SWJNaudio_08_PL2017,SWJNV2,Language
024_SWJNV2_13_PL2017,SWJNV2,Language
025_SWJNV2_15_PL2017,SWJNV2,Language
