Session,Exp,Set
216_KAN_SpLoc_05_PL2017,langlocSN,Language
217_KAN_evDB_20140724b_PL2017,langlocSN,Language
218_KAN_evDB_20140807a_PL2017,langlocSN,Language
219_KAN_evDB_20140807b_PL2017,langlocSN,Language
220_KAN_prodsemphon_07_PL2017,langlocSN,Language
221_KAN_evDB_20140808_PL2017,langlocSN,Language
222_KAN_prodsemphon_08_PL2017,langlocSN,Language
223_KAN_evDB_20140820a_PL2017,langlocSN,Language
224_FED_20160823b_3T1_PL2017,langlocSN,Language
224_KAN_prodsemphon_09_PL2017,langlocSN,Language
225_KAN_evDB_20140820b_PL2017,langlocSN,Language
226_KAN_prodsemphon_10_PL2017,langlocSN,Language
227_KAN_evDB_20141021b_PL2017,langlocSN,Language
228_KAN_evDB_20141028_PL2017,langlocSN,Language
229_KAN_evDB_20141103c_PL2017,langlocSN,Language
229_KAN_SpLoc_06_PL2017,langlocSN,Language
230_KAN_prodsemphon_12_PL2017,langlocSN,Language
231_KAN_prodsemphon_13_PL2017,langlocSN,Language
232_KAN_prodsemphon_14_PL2017,langlocSN,Language
233_KAN_evDB_20141020a_PL2017,langlocSN,Language
234_KAN_prodsemphon_15_PL2017,langlocSN,Language
235_KAN_prodsemphon_16_PL2017,langlocSN,Language
236_KAN_evDB_20141021c_PL2017,langlocSN,Language
237_KAN_evDB_20141027a_PL2017,langlocSN,Language
238_KAN_EvDB_20150504_PL2017,langlocSN,Language
238_KAN_evDB_20141027c_PL2017,langlocSN,Language
239_KAN_evDB_20141027d_PL2017,langlocSN,Language
239_KAN_evDB_20150129b_PL2017,langlocSN,Language
240_KAN_evDB_20141103a_PL2017,langlocSN,Language
241_KAN_evDB_20141103d_PL2017,langlocSN,Language
242_KAN_evDB_20141110a_PL2017,langlocSN,Language
243_KAN_prodsemphon_18_PL2017,langlocSN,Language
244_KAN_evDB_20141201a_PL2017,langlocSN,Language
245_KAN_evDB_20141201b_PL2017,langlocSN,Language
246_KAN_evDB_20141201c_PL2017,langlocSN,Language
247_KAN_evDB_20141215b_PL2017,langlocSN,Language
248_KAN_evDB_20150129a_PL2017,langlocSN,Language
248_FED_20151231c_3T2_PL2017,langlocSN,Language
249_FED_20160817b_3T1_PL2017,langlocSN,Language
249_FED_20170110a_3T2_PL2017,langlocSN,Language
249_KAN_EvDB_20150130_PL2017,langlocSN,Language
250_KAN_evDB_20150205a_PL2017,langlocSN,Language
251_FED_20150828d_3T2_PL2017,langlocSN,Language
251_KAN_evDB_20150205b_PL2017,langlocSN,Language
252_FED_20181010b_3T2_PL2017,langlocSN,Language
252_KAN_evDB_20150206_PL2017,langlocSN,Language
